mes,municipio,departamento,valorobservado,riesgo_humedad
2015-04,CABRERA,CUNDINAMARCA,86.64879356568365,riesgo_moderado_alta_humedad
2015-04,CONTADERO,NARIÑO,73.75,óptimo
2015-04,GIRARDOT,CUNDINAMARCA,69.91666666666667,óptimo
2015-04,GUASCA,CUNDINAMARCA,54.34302759134974,ligeramente_seco
2015-04,LA CALERA,CUNDINAMARCA,91.6969696969697,riesgo_alto_alta_humedad
2015-04,LENGUAZAQUE,CUNDINAMARCA,87.78792134831461,riesgo_moderado_alta_humedad
2015-04,MOSQUERA,CUNDINAMARCA,79.2384,óptimo
2015-04,NEMOCÓN,CUNDINAMARCA,80.81497797356828,riesgo_moderado_alta_humedad
2015-04,PASCA,CUNDINAMARCA,88.3204172876304,riesgo_moderado_alta_humedad
2015-04,PASTO,NARIÑO,74.47602501737317,óptimo
2015-04,PUERRES,NARIÑO,4.430232558139535,riesgo_baja_humedad
2015-04,PUERTO SALGAR,CUNDINAMARCA,78.94583333333334,óptimo
2015-04,QUEBRADANEGRA,CUNDINAMARCA,81.73777777777778,riesgo_moderado_alta_humedad
2015-04,SAN BERNARDO,CUNDINAMARCA,99.0,riesgo_alto_alta_humedad
2015-04,SAN CAYETANO,CUNDINAMARCA,83.63517441860465,riesgo_moderado_alta_humedad
2015-04,TAMINANGO,NARIÑO,77.21026490066225,óptimo
2015-04,TÚQUERRES,NARIÑO,84.50277777777778,riesgo_moderado_alta_humedad
2015-04,UBATÉ,CUNDINAMARCA,75.26666666666667,óptimo
2015-04,VILLAPINZÓN,CUNDINAMARCA,1.157037037037037,riesgo_baja_humedad
2015-04,VILLETA,CUNDINAMARCA,77.93459302325581,óptimo
2015-04,ZIPAQUIRÁ,CUNDINAMARCA,90.8427299703264,riesgo_alto_alta_humedad
2015-05,BARBACOAS,NARIÑO,97.04704301075269,riesgo_alto_alta_humedad
2015-05,CABRERA,CUNDINAMARCA,84.18064516129033,riesgo_moderado_alta_humedad
2015-05,CONTADERO,NARIÑO,72.22826086956522,óptimo
2015-05,GIRARDOT,CUNDINAMARCA,66.7513440860215,óptimo
2015-05,GUASCA,CUNDINAMARCA,49.13708019191227,riesgo_baja_humedad
2015-05,LA CALERA,CUNDINAMARCA,9.858439201451906,riesgo_baja_humedad
2015-05,LENGUAZAQUE,CUNDINAMARCA,86.73492286115007,riesgo_moderado_alta_humedad
2015-05,MOSQUERA,CUNDINAMARCA,78.59014084507042,óptimo
2015-05,NEMOCÓN,CUNDINAMARCA,80.54657534246576,riesgo_moderado_alta_humedad
2015-05,PASCA,CUNDINAMARCA,86.43519781718963,riesgo_moderado_alta_humedad
2015-05,PASTO,NARIÑO,73.10551075268818,óptimo
2015-05,PUERRES,NARIÑO,75.63243243243244,óptimo
2015-05,PUERTO SALGAR,CUNDINAMARCA,94.75672043010752,riesgo_alto_alta_humedad
2015-05,QUEBRADANEGRA,CUNDINAMARCA,78.24016282225237,óptimo
2015-05,SAN BERNARDO,CUNDINAMARCA,99.0,riesgo_alto_alta_humedad
2015-05,SAN CAYETANO,CUNDINAMARCA,80.2361673414305,riesgo_moderado_alta_humedad
2015-05,TAMINANGO,NARIÑO,72.88816855753646,óptimo
2015-05,TÚQUERRES,NARIÑO,83.17876344086021,riesgo_moderado_alta_humedad
2015-05,UBATÉ,CUNDINAMARCA,74.27792915531334,óptimo
2015-05,VILLAPINZÓN,CUNDINAMARCA,1.1074918566775245,riesgo_baja_humedad
2015-05,VILLETA,CUNDINAMARCA,72.90296495956873,óptimo
2015-05,ZIPAQUIRÁ,CUNDINAMARCA,90.36501377410468,riesgo_alto_alta_humedad
2015-06,BARBACOAS,NARIÑO,96.94305555555556,riesgo_alto_alta_humedad
2015-06,CABRERA,CUNDINAMARCA,83.3970223325062,riesgo_moderado_alta_humedad
2015-06,CONTADERO,NARIÑO,73.07132867132867,óptimo
2015-06,GIRARDOT,CUNDINAMARCA,63.61527777777778,óptimo
2015-06,GUASCA,CUNDINAMARCA,76.72695035460993,óptimo
2015-06,LA CALERA,CUNDINAMARCA,8.676388888888889,riesgo_baja_humedad
2015-06,LENGUAZAQUE,CUNDINAMARCA,91.21659634317862,riesgo_alto_alta_humedad
2015-06,MOSQUERA,CUNDINAMARCA,79.90526315789474,óptimo
2015-06,NEMOCÓN,CUNDINAMARCA,85.27077363896848,riesgo_moderado_alta_humedad
2015-06,PASCA,CUNDINAMARCA,89.09428571428572,riesgo_moderado_alta_humedad
2015-06,PASTO,NARIÑO,73.27707454289732,óptimo
2015-06,PUERRES,NARIÑO,96.10027855153203,riesgo_alto_alta_humedad
2015-06,PUERTO SALGAR,CUNDINAMARCA,79.24094707520891,óptimo
2015-06,QUEBRADANEGRA,CUNDINAMARCA,70.28973277074543,óptimo
2015-06,SAN BERNARDO,CUNDINAMARCA,99.0,riesgo_alto_alta_humedad
2015-06,SAN CAYETANO,CUNDINAMARCA,75.76847977684798,óptimo
2015-06,TAMINANGO,NARIÑO,66.28467153284672,óptimo
2015-06,TÚQUERRES,NARIÑO,82.49166666666666,riesgo_moderado_alta_humedad
2015-06,UBATÉ,CUNDINAMARCA,77.5985401459854,óptimo
2015-06,VILLAPINZÓN,CUNDINAMARCA,1.026275115919629,riesgo_baja_humedad
2015-06,VILLETA,CUNDINAMARCA,64.55090655509065,óptimo
