mes,departamento,municipio,topografia,drenaje,cobre_disponible,hierro_disponible_olsen,zinc_disponible_olsen,boro_disponible,manganeso_disponible_olsen,acidez_kcl,ph_agua_suelo,conductividad_electrica,capacidad_de_intercambio_cationico,materia_organica,Numero_cultivos_Cafe
2015-04,CUNDINAMARCA,VIOTÁ,Ondulado,Buen drenaje,3.25616,639.4456,4.33816,0.262,5.43336,3.9322000000000004,4.87148,0.21796,9.7704,10.64384,25
2015-05,BOYACÁ,MACANAL,Ondulado,Buen drenaje,2.223,101.9,0.02,0.17,7.647,1.845,4.849,0.088,3.023,7.784,1
2015-05,BOYACÁ,PAYA,No indica,No indica,4.337190476190476,384.2085714285714,4.134428571428571,0.1959047619047619,7.421714285714286,1.5952857142857142,5.0109047619047615,0.17157142857142857,4.862809523809524,4.332190476190476,21
2015-05,BOYACÁ,PÁEZ,No indica,No indica,1.421,81.33,1.497,0.1,7.551,0.668,5.05,0.161,3.744,3.056,1
2015-05,CUNDINAMARCA,BITUIMA,Pendiente,Regular drenaje,2.364333333333333,157.55666666666664,3.202666666666667,0.2846666666666667,6.081666666666667,0.13999999999999999,5.336666666666666,0.19099999999999998,9.022,3.5060000000000002,3
2015-05,CUNDINAMARCA,CHAGUANÍ,Pendiente,Regular drenaje,3.136,91.29,2.564,0.204,4.681,1.325,5.23,0.127,9.095,2.372,1
2015-05,CUNDINAMARCA,QUIPILE,Ondulado,Buen drenaje,5.1475,240.45,8.688,0.528,2.9085,0.0,6.48,0.26,17.915,6.926,2
2015-06,CUNDINAMARCA,CHAGUANÍ,No indica,Buen drenaje,3.176,97.1,3.763,0.266,1.952,0.0,6.06,0.129,7.364,3.103,1
2015-06,CUNDINAMARCA,LA MESA,Ondulado,Buen drenaje,4.471,933.85,5.4495000000000005,0.258,4.5475,1.8980000000000001,4.98,0.10600000000000001,11.809999999999999,3.6065,2
2015-06,CUNDINAMARCA,VENECIA,Ondulado,Buen drenaje,2.928125,305.075,27.303375,0.21475,5.2536249999999995,0.259,5.61125,0.32325,12.222,10.28075,8
2015-06,CUNDINAMARCA,VIANÍ,Pendiente,Buen drenaje,2.739333333333333,620.6833333333333,3.6776666666666666,0.21791666666666668,10.637416666666667,2.6930833333333335,4.857166666666667,0.22724999999999998,8.863666666666667,7.905666666666666,12
2015-07,CUNDINAMARCA,CHAGUANÍ,Pendiente,Buen drenaje,3.0344285714285713,174.99142857142857,2.444,0.25314285714285717,4.1657142857142855,0.4857142857142857,5.438571428571429,0.18442857142857144,9.356285714285715,5.549285714285714,7
2015-07,CUNDINAMARCA,GUAYABAL DE SÍQUIMA,Pendiente,Regular drenaje,3.1002727272727273,413.1881818181818,4.710272727272727,0.18536363636363637,3.2709090909090914,1.6616363636363636,6.081818181818182,0.3507272727272727,24.53518181818182,3.6834545454545453,11
2015-07,CUNDINAMARCA,QUIPILE,Pendiente,Buen drenaje,2.086,381.2,1.633,0.176,4.112,1.36,4.91,0.173,3.924,3.586,1
2015-07,CUNDINAMARCA,SAN JUAN DE RIOSECO,Pendiente leve,Buen drenaje,4.206,73.33,3.944,0.36,1.658,0.0,6.54,0.28,21.83,2.459,1
2015-07,CUNDINAMARCA,SASAIMA,Ondulado,Buen drenaje,4.205,336.7,6.65,0.38,3.82,2.999,4.94,0.187,14.92,12.6,1
2015-07,CUNDINAMARCA,VIANÍ,Ondulado,Buen drenaje,2.5271999999999997,209.74,6.6304,0.2404,8.4244,1.0455999999999999,5.284000000000001,0.1826,15.947,2.7763999999999998,5
2015-08,CUNDINAMARCA,CHAGUANÍ,Pendiente,Buen drenaje,2.82875,161.6675,3.189,0.2625,9.21125,0.1125,5.65375,0.3015,15.270375000000001,5.553,8
2015-08,CUNDINAMARCA,FOSCA,Ondulado,Buen drenaje,2.053,155.3,7.206,0.236,1.573,0.0,6.57,0.194,9.949,2.227,1
2015-08,CUNDINAMARCA,SASAIMA,No indica,Buen drenaje,8.06,254.4,5.218,0.249,4.75,3.274,4.98,0.184,5.533,10.45,1
2015-08,TOLIMA,IBAGUÉ,No indica,Buen drenaje,2.848,76.44,20.66,0.21,2.984,0.0,6.16,0.469,18.4,3.818,1
2015-09,"BOGOTÁ, D.C.","BOGOTÁ,  D.C.",Ondulado,Regular drenaje,1.6853333333333333,594.6666666666666,1.0193333333333332,0.268,6.418,2.7546666666666666,4.723333333333334,0.24866666666666667,4.308666666666667,5.369,3
2015-09,CESAR,AGUSTÍN CODAZZI,No indica,Buen drenaje,3.005,32.39,2.24,0.271,3.7095000000000002,0.0,6.45,0.236,13.01,2.25,2
2015-09,CUNDINAMARCA,VIANÍ,No indica,Buen drenaje,1.9894285714285715,271.3614285714286,4.384714285714286,0.4571428571428572,9.012571428571428,1.3467142857142858,5.902857142857143,0.3987142857142857,21.035142857142855,3.8614285714285717,7
2015-09,HUILA,SUAZA,Pendiente,Buen drenaje,1.09,238.6,1.928,0.3,14.91,2.814,5.04,0.168,6.968,5.567,1
2015-10,CUNDINAMARCA,LA VEGA,Pendiente,Buen drenaje,2.204,486.9,3.498,0.331,8.484,1.217,5.43,0.225,5.104,9.609,1
2015-10,CUNDINAMARCA,VERGARA,Pendiente,No indica,2.298,706.3,5.714,0.225,2.488,4.729,4.98,0.121,8.135,4.822,1
2015-10,CUNDINAMARCA,VIANÍ,Pendiente,No indica,1.0,220.77,2.3085,0.1345,10.471499999999999,3.488,5.3095,0.22100000000000003,16.025,4.0145,2
2015-10,HUILA,GIGANTE,Ondulado,Buen drenaje,3.7175000000000002,311.95000000000005,1.2575,0.362,4.291,0.0,5.855,0.2445,9.684999999999999,2.0885,2
2015-10,TOLIMA,LÍBANO,Ondulado,Buen drenaje,6.643000000000001,103.93333333333334,12.983333333333334,0.27399999999999997,10.629666666666667,0.6606666666666667,5.323333333333333,0.8650000000000001,11.946666666666667,12.293333333333335,3
2015-11,CAUCA,SOTARÁ,Pendiente,Buen drenaje,1.0,274.1,1.0,0.436,2.006,0.0,5.63,0.142,6.144,3.941,1
2015-11,CUNDINAMARCA,BITUIMA,Pendiente,Buen drenaje,2.968,54.3,10.11,0.62,1.88,0.0,7.27,0.49,17.12,3.375,1
2015-11,CUNDINAMARCA,EL COLEGIO,Ondulado,Buen drenaje,2.129833333333333,562.3472727272728,9.425560606060605,0.37253030303030304,6.775333333333333,2.0404242424242427,5.247833333333333,0.6325,13.156242424242425,7.07240909090909,66
2015-12,BOYACÁ,MONIQUIRÁ,Pendiente,No indica,1.7186,509.12,2.3368,0.4586,5.907,3.539,4.7177999999999995,0.2908,7.8608,7.2206,5
2015-12,BOYACÁ,SAN JOSÉ DE PARE,Ondulado,No indica,1.313,254.1,4.794,0.406,17.59,0.278,5.24,0.548,17.82,8.157,1
2015-12,BOYACÁ,SANTANA,Ondulado,No indica,1.6571333333333333,676.858,3.9863333333333335,0.48206666666666664,12.8428,2.0782666666666665,5.275933333333333,0.48966666666666664,14.142133333333334,6.175133333333333,15
